종목코드,종목명,운용사,평균 순자산총액,평균 거래대금,평균 거래량,평균 외국인보유비중
159800,마이티 코스피100,디비자산운용,11042.0,43.0,1335,0.4
0036R0,RISE 미국휴머노이드로봇,케이비자산운용,10944.0,712.0,60065,0.0
461900,PLUS 미국테크TOP10,한화자산운용,10824.0,92.0,5101,0.01
453660,KODEX 미국S&P500경기소비재,삼성자산운용,10787.0,30.0,1903,0.0
376410,TIGER 탄소효율그린뉴딜,미래에셋자산운용,10776.0,107.0,10489,0.01
496120,ACE 코리아밸류업,한국투자신탁운용,10772.0,56.0,4510,0.0
0001P0,마이티 바이오시밀러&CDMO액티브,디비자산운용,10707.0,48.0,4930,0.0
483420,ACE 애플밸류체인액티브,한국투자신탁운용,10706.0,179.0,17057,0.0
445910,TIGER MKF배당귀족,미래에셋자산운용,10622.0,84.0,5268,0.02
269370,TIGER S&P글로벌인프라(합성),미래에셋자산운용,10611.0,40.0,2606,0.0
432840,HANARO 미국S&P500,엔에이치아문디자산운용,10570.0,38.0,2370,0.0
487920,ACE 인도시장대표BIG5그룹액티브,한국투자신탁운용,10569.0,46.0,5318,0.0
487950,KODEX 대만테크고배당다우존스,삼성자산운용,10548.0,79.0,8147,0.0
484890,SOL 머니마켓액티브,신한자산운용,10434.0,543.0,10511,0.0
253150,PLUS 200선물레버리지,한화자산운용,10414.0,95.0,2264,0.0
404260,KODEX 기후변화솔루션,삼성자산운용,10341.0,55.0,4563,0.0
463690,KODEX 미국S&P500커뮤니케이션,삼성자산운용,10333.0,52.0,3115,0.0
253250,KIWOOM 200선물레버리지,키움투자자산운용,10196.0,714.0,33495,0.0
281990,RISE 중소형고배당,케이비자산운용,10187.0,226.0,14834,0.01
385710,TIMEFOLIO K이노베이션액티브,타임폴리오자산운용,10162.0,207.0,23045,0.0
0051A0,KoAct 브로드컴밸류체인액티브,삼성액티브자산운용,10079.0,340.0,31072,0.0
482870,HANARO 주주가치성장코리아액티브,엔에이치아문디자산운용,10069.0,61.0,4704,0.0
0018Z0,RISE 미국양자컴퓨팅,케이비자산운용,10034.0,826.0,65878,0.0
0002C0,에셋플러스 인도일등기업포커스20액티브,에셋플러스자산운용,9975.0,10.0,932,0.0
0005C0,RISE 미국S&P500엔화노출(합성 H),케이비자산운용,9967.0,5.0,502,0.0
131890,ACE 삼성그룹동일가중,한국투자신탁운용,9942.0,102.0,4790,0.0
275290,KODEX 가치주,삼성자산운용,9890.0,116.0,8884,0.0
0021C0,ACE 장기자산배분액티브,한국투자신탁운용,9877.0,42.0,4036,0.0
0005G0,ITF K-AI반도체코어테크,아이비케이자산운용,9876.0,38.0,3168,0.0
215620,HK S&P코리아로우볼,흥국자산운용,9867.0,1.0,70,0.0
452440,VITA 밸류알파액티브,한국투자밸류자산운용,9832.0,268.0,18293,0.0
0021D0,ACE TDF2030액티브,한국투자신탁운용,9758.0,56.0,5441,0.0
473640,HANARO 글로벌금채굴기업,엔에이치아문디자산운용,9723.0,132.0,7253,0.0
0023B0,PLUS 미국양자컴퓨팅TOP10,한화자산운용,9720.0,165.0,12818,0.0
0035T0,PLUS 글로벌휴머노이드로봇액티브,한화자산운용,9693.0,1640.0,143638,0.0
0020H0,KoAct 글로벌양자컴퓨팅액티브,삼성액티브자산운용,9688.0,254.0,19186,0.0
471780,TIGER 코리아테크액티브,미래에셋자산운용,9643.0,31.0,3014,0.0
